Feature_Index,Feature,Abs_Cohen_D_mean,Abs_Cohen_D_std,Single_Feature_AUC_mean,Single_Feature_AUC_std,Abs_Difference_mean,Abs_Difference_std
6,patch_area_cv,1.0703745105951383,0.07495076480885432,0.7738056482210061,0.015014418336883547,0.42240871136924224,0.0228073922227473
11,centroid_y,1.0685232109730656,0.062392353706639425,0.7814653682475868,0.013651310896604481,0.1346525053063789,0.005437274515770559
2,largest_patch_area,1.0277138005103197,0.05598768686241992,0.7811731750045774,0.013682418541914864,2.662072684220102,0.11165727675322848
5,patch_area_std,1.00889058518715,0.0671268730110366,0.7728478255180503,0.013706450951916738,0.15877085807193445,0.007490729860265222
4,largest_patch_ratio,0.928713421316804,0.06119906088411573,0.7719203850991988,0.013840387857222254,0.3260784324837339,0.016451704745705658
7,gini,0.8699815361534942,0.06720135393239232,0.7928315227497791,0.017337062433369483,0.02566985261124593,0.001064684199080374
3,mean_patch_area,0.8467359484350545,0.07345675795032228,0.7956367156933607,0.014899787002167372,0.008579771687473932,0.0004904153178904069
9,aggregation_index,0.8038975064647799,0.06130886820141219,0.7988291268887796,0.014731441921013123,0.05425107291375016,0.002804323255140965
10,centroid_x,0.6906499915246082,0.024034041813103445,0.8021766881879561,0.015495699920042273,0.0065833342820345725,0.0005637780457568286
14,perimeter,0.6780803823655605,0.05819457017322884,0.7559126401977807,0.016632657051516286,0.23620550968839468,0.018234838330339138
17,fragmentation,0.64737178210476,0.032999779932733384,0.6219641979260873,0.004284375031596702,0.05645503979896693,0.0022605155822305817
8,edge_density,0.6047782981034384,0.02908578599013368,0.7844912833869608,0.017089351969520546,0.0006767294218875475,6.352207350115202e-05
0,patch_count,0.5543243154314943,0.056808457872465586,0.6566079040128878,0.012299206172436192,0.13911481817364715,0.012120836017710412
15,perimeter_area_ratio,0.5161862038109304,0.02755805959706682,0.7851958604953678,0.01733149895026979,8.842368409599764e-06,6.841180027934305e-07
12,spread_x,0.5036821874739901,0.011132750508479705,0.6405462246544797,0.004137488032951136,0.0032135366466926538,7.985868209634488e-05
13,spread_y,0.38384070035279905,0.01983569305059701,0.6031148990071781,0.008506523208847013,0.006643293294217504,0.00030153156419661094
1,total_patch_area,0.34922762576415833,0.07135183660394054,0.7987676664431015,0.015018393382135266,0.0006485854510839436,0.00013547904191841254
16,compactness,0.34459104642814453,0.03272226140087932,0.600992331295499,0.011031736901391316,0.05857617822149168,0.00522380251465209
19,patch_density,0.2157388317633242,0.0775584042856864,0.6389923591722969,0.012231502690848354,0.0263917925398346,0.009324727686093224
18,nearest_patch_distance,0.037514236797278444,0.01186832290531788,0.580186474060939,0.011263144679304286,0.0002620647754597052,0.0002206028549043505
